iter	Logloss
0	0.6743401132
1	0.6575187105
2	0.6449993533
3	0.6322436882
4	0.6199995218
5	0.6069382664
6	0.5955504187
7	0.588059583
8	0.5787903056
9	0.5705478714
10	0.5627354254
11	0.5565382983
12	0.5520010622
13	0.546864635
14	0.5419138841
15	0.5365901388
16	0.5329171547
17	0.5296384248
18	0.5262908732
19	0.5221081893
20	0.5192241357
21	0.5164104811
22	0.5136714379
23	0.5107528807
24	0.5083322135
25	0.5056895115
26	0.5035345965
27	0.5009568226
28	0.498914602
29	0.4967473381
30	0.495239045
31	0.4937350351
32	0.4923747038
33	0.4909451248
34	0.4896623132
35	0.4886781156
36	0.4880639399
37	0.4868106315
38	0.4857678744
39	0.4849349834
40	0.4839001129
41	0.4829957852
42	0.4820622974
43	0.4810252031
44	0.4802202789
45	0.4796242503
46	0.4790166354
47	0.4786340843
48	0.4780415933
49	0.4772669148
50	0.4764686263
51	0.4758804471
52	0.475250488
53	0.474683407
54	0.4741925715
55	0.4737542774
56	0.4727847609
57	0.4719936281
58	0.4714695281
59	0.4706448633
60	0.4699138858
61	0.4695132167
62	0.4688985866
63	0.4684843767
64	0.4681299212
65	0.4673783089
66	0.4669858794
67	0.4663369892
68	0.4661977548
69	0.4658746183
70	0.4656425676
71	0.4654005241
72	0.465001128
73	0.4644547139
74	0.4641252888
75	0.4638030058
76	0.4634510701
77	0.463135057
78	0.4627518836
79	0.4623295687
80	0.4620977236
81	0.4616738504
82	0.4612906209
83	0.46081421
84	0.4604738408
85	0.4603230138
86	0.4599653297
87	0.4599652837
88	0.4596878872
89	0.4594798784
90	0.4591933388
91	0.4589984545
92	0.4588166259
93	0.4585649833
94	0.4584383859
95	0.4583224784
96	0.4580668877
97	0.4577799264
98	0.45737555
99	0.4572260867
100	0.4567202474
101	0.4562929841
102	0.4559823097
103	0.4558018048
104	0.4555796726
105	0.4551411933
106	0.4550290441
107	0.4548852309
108	0.4547695856
109	0.4546659546
110	0.4544811039
111	0.4543691587
112	0.4542539476
113	0.4540656835
114	0.4536002226
115	0.4531128775
116	0.4528903407
117	0.4528076354
118	0.452529656
119	0.4521180192
120	0.4519300368
121	0.4516851012
122	0.4514581155
123	0.4512855221
124	0.4510101938
125	0.4506687357
126	0.4504578347
127	0.4502719198
128	0.4501791222
129	0.4498202489
130	0.449660875
131	0.4492457154
132	0.4491500972
133	0.4489168949
134	0.4487988826
135	0.4484714965
136	0.448186402
137	0.448089285
138	0.4480307134
139	0.4478539826
140	0.4477254529
141	0.4474876512
142	0.4472980001
143	0.4471174878
144	0.4467703471
145	0.446380553
146	0.4461833723
147	0.4460415624
148	0.4458378176
149	0.445561285
150	0.4453895797
151	0.4452870054
152	0.445150393
153	0.4449858754
154	0.4448234843
155	0.4447401358
156	0.4446098395
157	0.4444234386
158	0.4442433353
159	0.4440975156
160	0.4440556755
161	0.4437327921
162	0.443204338
163	0.4429841144
164	0.4427385024
165	0.4426020989
166	0.442353681
167	0.4422683882
168	0.4420515035
169	0.4418546876
170	0.4416724657
171	0.441652656
172	0.4414132504
173	0.4411162911
174	0.4409706109
175	0.4408163131
176	0.4405631937
177	0.4405163918
178	0.4401774716
179	0.4399346629
180	0.4398093642
181	0.4396588121
182	0.4393989025
183	0.439112213
184	0.4389365898
185	0.4387668075
186	0.4384425776
187	0.4382262963
188	0.4380795364
189	0.4379229311
190	0.4377890949
191	0.437580315
192	0.4373211917
193	0.4370331465
194	0.4366852801
195	0.4363468473
196	0.4361169702
197	0.4355734878
198	0.4353991849
199	0.4353173859
200	0.4351346612
201	0.434707723
202	0.4344773435
203	0.4343652092
204	0.4338612958
205	0.4336260894
206	0.433414439
207	0.4330424563
208	0.4328090677
209	0.4324893909
210	0.4322753638
211	0.4321128983
212	0.4317586139
213	0.4314683311
214	0.4312913446
215	0.4309318253
216	0.4305544807
217	0.4300429524
218	0.4297369506
219	0.4295180511
220	0.4291486449
221	0.4289003744
222	0.4285128907
223	0.4282149617
224	0.4281030164
225	0.427825323
226	0.4275777641
227	0.4273709311
228	0.4270409458
229	0.4268271706
230	0.4266103294
231	0.4263464959
232	0.4260330342
233	0.4256797998
234	0.4253317811
235	0.4251194731
236	0.4248641441
237	0.424617725
238	0.4242433965
239	0.424111988
240	0.4238549085
241	0.423563052
242	0.4232296144
243	0.4228727193
244	0.4226115968
245	0.4223966354
246	0.4220527965
247	0.421689306
248	0.4215317788
249	0.4213645334
