iter	Passed	Remaining
427	1869	2498
428	1873	2493
429	1877	2489
430	1881	2483
431	1885	2478
432	1889	2474
433	1893	2469
434	1897	2464
435	1901	2460
436	1906	2455
437	1910	2450
438	1914	2446
439	1918	2441
440	1923	2437
441	1927	2433
442	1931	2428
443	1934	2423
444	1939	2418
445	1943	2414
446	1947	2409
447	1951	2404
448	1956	2400
449	1960	2395
450	1964	2390
451	1968	2386
452	1973	2382
453	1976	2377
454	1981	2372
455	1986	2369
456	1990	2364
457	1994	2360
458	1998	2355
459	2003	2351
460	2007	2346
461	2011	2342
462	2016	2338
463	2020	2334
464	2024	2329
465	2028	2324
466	2033	2321
467	2037	2316
468	2041	2311
469	2045	2307
470	2051	2304
471	2056	2300
472	2060	2295
473	2065	2291
474	2069	2287
475	2073	2282
476	2077	2277
477	2084	2276
478	2088	2271
479	2092	2266
480	2097	2262
481	2101	2258
482	2105	2253
483	2109	2248
484	2114	2245
485	2118	2240
486	2122	2235
487	2127	2231
488	2131	2227
489	2135	2222
490	2139	2217
491	2144	2214
492	2148	2209
493	2152	2205
494	2157	2201
495	2163	2198
496	2167	2193
497	2171	2189
498	2176	2185
499	2180	2180
500	2184	2176
501	2189	2171
502	2193	2167
503	2197	2163
504	2201	2158
505	2206	2154
506	2210	2149
507	2214	2144
508	2218	2140
509	2223	2136
510	2227	2131
511	2231	2126
512	2235	2121
513	2239	2117
514	2243	2112
515	2247	2107
516	2251	2103
517	2255	2099
518	2259	2094
519	2263	2089
520	2268	2085
521	2272	2080
522	2276	2076
523	2280	2071
524	2285	2067
525	2289	2063
526	2293	2058
527	2297	2053
528	2303	2050
529	2308	2046
530	2312	2042
531	2316	2038
532	2321	2033
533	2325	2029
534	2329	2024
535	2334	2020
536	2338	2016
537	2342	2011
538	2347	2007
539	2351	2003
540	2355	1998
541	2359	1994
542	2364	1989
543	2368	1985
544	2372	1980
545	2376	1975
546	2380	1971
547	2384	1967
548	2389	1962
549	2392	1957
550	2397	1953
551	2401	1949
552	2405	1944
553	2410	1940
554	2414	1935
555	2418	1931
556	2422	1926
557	2427	1922
558	2431	1918
559	2435	1913
560	2439	1908
561	2445	1906
562	2450	1901
563	2454	1897
564	2459	1893
565	2463	1889
566	2468	1884
567	2472	1880
568	2476	1876
569	2481	1871
570	2485	1867
571	2490	1863
572	2494	1858
573	2498	1854
574	2502	1849
575	2506	1844
576	2510	1840
577	2514	1835
578	2519	1831
579	2523	1827
580	2527	1823
581	2531	1818
582	2536	1814
583	2540	1809
584	2544	1805
585	2548	1800
586	2554	1797
587	2559	1793
588	2563	1788
589	2568	1785
590	2572	1780
591	2576	1775
592	2581	1771
593	2586	1767
594	2590	1763
595	2595	1759
596	2599	1754
597	2603	1750
598	2608	1746
599	2612	1741
600	2616	1737
601	2621	1732
602	2625	1728
603	2629	1724
604	2634	1719
605	2638	1715
606	2642	1710
607	2647	1707
608	2652	1702
609	2656	1698
610	2660	1693
611	2665	1689
612	2669	1685
613	2674	1681
614	2679	1677
615	2684	1673
616	2688	1668
617	2692	1664
618	2696	1660
619	2701	1655
620	2705	1650
621	2710	1646
622	2714	1642
623	2717	1637
624	2721	1632
625	2726	1628
626	2730	1624
627	2733	1619
628	2737	1614
629	2742	1610
630	2746	1606
631	2750	1601
632	2755	1597
633	2759	1592
634	2763	1588
635	2768	1584
636	2772	1579
637	2776	1575
638	2780	1571
639	2784	1566
640	2789	1562
641	2793	1557
642	2797	1553
643	2802	1548
644	2806	1544
